model_id,model_label,model_tier,sample_index,question,ground_truth,answer,response_time_s,input_tokens,output_tokens,cost_usd,faithfulness,answer_relevancy,context_precision,context_recall,human_eval_sample,human_score,human_notes
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,0,What is the semester and year for the course INF 385T?,Fall 2025,The semester and year for the course INF 385T is Fall 2025 [source_file p.1].,6.84,0,0,0.0,1.0,1.0,1.0,1.0,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,1,What is the purpose of the assignments mentioned in the text?,"The assignments are intended to bring conceptual clarity, stimulate computational thinking, and emulate practical NLP implementation scenarios.","The purpose of the assignments mentioned in the text is to bring conceptual clarity, stimulate computational thinking, and emulate practical NLP implementation scenarios. Additionally, students are encouraged to reuse the code from the coding assignments in their course projects [source_file p.4].",5.16,0,0,0.0,1.0,1.0,1.0,1.0,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,2,"In the provided example, where is the verb located in the English sentence?",In the middle of the sentence.,I don't know based on the provided materials.,1.35,0,0,0.0,0.0,0.0,0.8,0.8,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,3,What is the maximum number of questions that will be on the in-class quiz?,5,The maximum number of questions that will be on the in-class quiz is 5 questions [source_file p.4].,4.33,0,0,0.0,1.0,1.0,1.0,1.0,True,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,4,What is the purpose of vector semantics as described in the text?,The purpose of vector semantics is to represent a word as a point in a multidimensional semantic space derived from the distributions of word neighbors.,"The purpose of vector semantics, as described in the text, is to represent word meaning in natural language processing (NLP) by modeling a word as a vector—a point in high-dimensional space. This representation helps to capture various aspects of word meaning, allowing for the computation of word and document similarities based on the distributions of word neighbors. The idea is that words with similar meanings will have similar distributions and thus be represented closely in this semantic space [source_file p. 124].",4.27,0,0,0.0,0.9,1.0,0.8,0.7,True,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,5,What notable aspect of Orson Welles' movie Citizen Kane is highlighted in the text?,Its structure.,"The notable aspect of Orson Welles' movie Citizen Kane highlighted in the text is its groundbreaking structure, which does not proceed in chronological order through the protagonist's life but instead begins with Kane's death and is structured around flashbacks to his life, showcasing the infinite possibilities and impact of different kinds of coherent narrative structures in cinematography [source_file p.559].",4.39,0,0,0.0,0.7,1.0,0.8,0.6,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,6,"What do the words 'hen', 'rooster', and 'chick' have in common?",They all describe chickens.,I don't know based on the provided materials.,3.76,0,0,0.0,0.0,0.0,0.8,0.8,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,7,What is one method mentioned for improving the retrieval of relevant passages in RAG architectures?,Adding a reranker that reranks or reorders passages after they are retrieved.,One method mentioned for improving the retrieval of relevant passages in RAG architectures is the use of a reranker that reranks or reorders passages after they are retrieved to encourage the language model to focus on the good passages [source_file p.251].,1.86,0,0,0.0,1.0,1.0,1.0,0.8,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,8,What email address should someone contact for support without making an official report to the university?,advocate@austin.utexas.edu,Someone should contact advocate@austin.utexas.edu for support without making an official report to the university [source_file p.12].,4.71,0,0,0.0,1.0,1.0,1.0,1.0,False,,
gpt-4o-mini,GPT-4o Mini  (fast / cheap),low,9,What does the term 'polysemy' refer to in the context of this chunk?,Any kind of sense ambiguity.,"In the context provided, 'polysemy' refers to the phenomenon where a word has multiple senses or meanings. It is used to describe any kind of sense ambiguity, and the term 'structured polysemy' is specifically reserved for cases where the different senses of a word are related in some structured way [source_file p. 216].",4.97,0,0,0.0,1.0,1.0,1.0,1.0,False,,
