question,ground_truth,contexts,source,page
What is the semester and year for the course INF 385T?,Fall 2025,"['INF 385T: Special Topics in Information Science Natural \nLanguage Processing and Applications \n  \nSemester: Fall 2025 \nTime / Venue: Thursdays 9:30AM-12:30PM, UTA 1.210A \nInstructor: Dr. Abhijit Mishra (he/his) \nEmail: abhijitmishra@utexas.edu \nOffice Hours \nThursday: 12:30PM-2:00PM ( UTA 1.210A/UTA 5.414 OR Zoom link: https://\nutexas.zoom.us/j/8979599959)  \n(Install zoom and Login using UT credentials) \nCanvas:   \nCommunication and Asking for Help \nPlease ask all questions that are applicable to the entire class on Canvas, so that others may \nbenefit from the discussion. Only use email for questions unique to individual \ncircumstances; in those cases, please address all questions to abhijitmishra@utexas.edu \nCourse Description']",../data/course_syllabus.pdf,0
What is the purpose of the assignments mentioned in the text?,"The assignments are intended to bring conceptual clarity, stimulate computational thinking, and emulate practical NLP implementation scenarios.","['similar to the lab or both. Assignments are intended to bring conceptual clarity, stimulate \ncomputational thinking and emulate practical NLP implementation scenarios. Moreover, \nstudents will be encouraged to reuse the code from the coding assignments in their course \nprojects.']",../data/course_syllabus.pdf,2
"In the provided example, where is the verb located in the English sentence?",In the middle of the sentence.,"['12.1 • L ANGUAGE DIVERGENCES AND TYPOLOGY 259\nrecognition. Indeed, in machine translation, the words of the target language don’t\nnecessarily agree with the words of the source language in number or order. Con-\nsider translating the following made-up English sentence into Japanese.\n(12.1) English: He wrote a letter to a friend\nJapanese: tomodachi\nfriend\nni\nto\ntegami-o\nletter\nkaita\nwrote\nNote that the elements of the sentences are in very different places in the different\nlanguages. In English, the verb is in the middle of the sentence, while in Japanese,\nthe verb kaita comes at the end. The Japanese sentence doesn’t require the pronoun\nhe, while English does.\nSuch differences between languages can be quite complex. In the following ac-']",../data/course_textbook.pdf,266
What is the maximum number of questions that will be on the in-class quiz?,5,"['2. Course Project \nThe goal of the course project is to promote effective planning, execution, and \ncommunication of an original NLP-centric product/research idea. Assignments related to \nthe course project will be related to (a) Project Planning (b) Gathering Resources (c) \nExperiment Design and Execution, and (d) Preparing presentation, report, and demo. \nStudents will be required to present before the class and prepare and submit a report in the \nprescribed format provided during project announcement in Canvas.  \nExamination \nA single in-class quiz, worth a total of 50 points, will be administered. The quiz will \ncomprise a maximum of 5 questions and is scheduled to last no longer than 2 hours. This']",../data/course_syllabus.pdf,3
What is the purpose of vector semantics as described in the text?,The purpose of vector semantics is to represent a word as a point in a multidimensional semantic space derived from the distributions of word neighbors.,"['is a leafy green similar to these other leafy greens. 1 We can implement the same\nintuition computationally by just counting words in the context of ongchoi.\nFigure 5.1 A two-dimensional (t-SNE) visualization of 200-dimensional word2vec em-\nbeddings for some words close to the word sweet, showing that words with similar mean-\nings are nearby in space. Visualization created using the TensorBoard Embedding Projector\nhttps://projector.tensorflow.org/.\nThe idea of vector semantics is to represent a word as a point in a multidimen-\nsional semantic space that is derived (in different ways we’ll see) from the distri-\nbutions of word neighbors. Vectors for representing words are called embeddings.embeddings\nThe word “embedding” derives historically from its mathematical sense as a map-']",../data/course_textbook.pdf,107
What notable aspect of Orson Welles' movie Citizen Kane is highlighted in the text?,Its structure.,"['CHAPTER\n24\nDiscourse Coherence\nAnd even in our wildest and most wandering reveries, nay in our very dreams,\nwe shall ﬁnd, if we reﬂect, that the imagination ran not altogether at adven-\ntures, but that there was still a connection upheld among the different ideas,\nwhich succeeded each other. Were the loosest and freest conversation to be\ntranscribed, there would immediately be transcribed, there would immediately\nbe observed something which connected it in all its transitions.\nDavid Hume, An enquiry concerning human understanding, 1748\nOrson Welles’ movieCitizen Kane was groundbreaking in many ways, perhaps most\nnotably in its structure. The story of the life of ﬁctional media magnate Charles\nFoster Kane, the movie does not proceed in chronological order through Kane’s']",../data/course_textbook.pdf,558
"What do the words 'hen', 'rooster', and 'chick' have in common?",They all describe chickens.,"['generative grammar (Katz and Fodor, 1963), the idea arose of representing mean-\ning with semantic features, symbols that represent some sort of primitive meaning.semantic\nfeature\nFor example words like hen, rooster, or chick, have something in common (they all\ndescribe chickens) and something different (their age and sex), representable as:\nhen +female, +chicken, +adult\nrooster -female, +chicken, +adult\nchick +chicken, -adult\nThe dimensions used by vector models of meaning to deﬁne words, however, are\nonly abstractly related to this idea of a small ﬁxed number of hand-built dimensions.\nNonetheless, there has been some attempt to show that certain dimensions of em-\nbedding models do contribute some speciﬁc compositional aspect of meaning like\nthese early semantic features.']",../data/course_textbook.pdf,125
What is one method mentioned for improving the retrieval of relevant passages in RAG architectures?,Adding a reranker that reranks or reorders passages after they are retrieved.,"['the LLM to focus on the good passages? Some RAG architectures add a reranker\nthat reranks or reorders passages after they are retrieved. Or some complex questions\nmay require multi-hop architectures, in which a query is used to retrieve documents,\nwhich are then appended to the original query for a second stage of retrieval.\nAnother class of solutions is to train the LLM for RAG. The basic version of\nRAG describe above involves no training; we take an off-the-shelf LLM, and give\nit the passages and a prompt and hope that it will correctly ﬁgure out which pas-\nsages are useful or relevant in generating the answer. One learning variant involves\ninstruction-tuning an LLM, by ﬁrst creating a dataset of questions annotated with']",../data/course_textbook.pdf,258
What email address should someone contact for support without making an official report to the university?,advocate@austin.utexas.edu,"['with someone who can provide support or remedies without making an official report to \nthe university, please email advocate@austin.utexas.edu. For more information about \nreporting options and resources, visit http://www.titleix.utexas.edu/ ,  contact the Title IX \nOffice via email at titleix@austin.utexas.edu, or call 512-471-0419. \n Although graduate teaching and research assistants are not subject to Texas Senate \nBill 212, they are still mandatory reporters under Federal Title IX laws and are required to \nreport a wide range of behaviors we refer to as unprofessional or inappropriate conduct of \na sexual nature, including the types of conduct covered under Texas Senate Bill 212. The \nTitle IX office has developed supportive ways to respond to a survivor and compiled']",../data/course_syllabus.pdf,11
What does the term 'polysemy' refer to in the context of this chunk?,Any kind of sense ambiguity.,"['disambiguation\nWSD of potential word senses (like the ones in WordNet) and outputs the correct word\nsense in context. Fig. 9.7 sketches out the task.\n2 The word polysemy itself is ambiguous; you may see it used in a different way, to refer only to cases\nwhere a word’s senses are related in some structured way, reserving the word homonymy to mean sense\nambiguities with no relation between the senses (Haber and Poesio, 2020). Here we will use ‘polysemy’\nto mean any kind of sense ambiguity, and ‘structured polysemy’ for polysemy with sense relations.']",../data/course_textbook.pdf,215
